,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
EfficientNetB4_fairface_md_cropped_aug_gender_finetuned_F50M50,0.9583908839779005,0.19969426002256277,0.11759008136381248,0.32212211058644274,3.1373988604404603,0.8640517702943953,0.8408008026140881,1,0.8459739007916296,1,1,1,1,0.04160911602209945,0.04160911602209945,0.04160911602209945,0.04160911602209945,0.04160911602209945,1.0,0,1,1,1,1,1,0,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225853569472339,0.9014290354011043,0.9290376569037657,0.9583908839779005,0.920400401307044
