,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
DenseNet121_Notredame_right_aug_gender_finetuned_F50M50,0.92731494,0.21855663,0.055247154,0.19327287,4.227132550401602,0.9860011986930379,0.8899247916787503,0.3689095079898834,0.8899134362059312,0.3689095079898834,0.055420219244823384,0.05587301587301587,0.05564661755891963,0.6126674786845311,0.523142509135201,0.26004872107186355,0.061510353227771014,0.03288672350791717,0.7047619047619048,0.3736787438392639,0.9999979734420776,0.9999898672103882,0.9972661733627319,0.4885549545288086,0.0800505056977272,2.7386141709939693e-07,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.944047248989742,0.9517923362175525,0.9447852760736197,0.9378806333739342,0.9860011986930378
