,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
EfficientNetB4_Notredame_right_aug_gender_finetuned_F50M50,0.87433064,0.2853158,0.06025231,0.20602572,3.2713739418847885,0.9751081723797924,0.8431606828683564,0.14306460320949554,0.843273594171693,0.1333698332309723,0.07917174177831912,0.07936507936507936,0.07926841057169924,0.6912302070645554,0.595006090133983,0.3940316686967113,0.1278928136419001,0.061510353227771014,0.5479365079365079,0.1674237996339798,0.9999972581863403,0.9999760389328003,0.9988428354263306,0.6187995076179504,0.08744335174560547,1.7374553863191977e-05,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9145166304009947,0.9458577951728636,0.9133858267716536,0.8830694275274056,0.9751081723797923
