,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
InceptionResNetV2_Notredame_right_aug_gender_finetuned_F50M50,0.87443453,0.28045148,0.10661317,0.26813,2.798591628109749,0.9583964580554106,0.7913821704077489,0.23664438724517822,0.7928276160562436,0.22886519134044647,0.10535931790499391,0.10539682539682539,0.10537807165090965,0.8629719853836785,0.7697929354445798,0.5334957369062119,0.22168087697929353,0.11266747868453106,0.6685714285714286,0.4278448820114136,0.9999998807907104,0.9999979734420776,0.9996998310089111,0.94060879945755,0.46155697107315063,1.2163408428023104e-05,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9046134663341646,0.8940234134319162,0.8836784409257004,0.9583964580554105
