,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
InceptionV3_Notredame_right_aug_gender_finetuned_F50M50,0.86123097,0.2677766,0.108075745,0.25098565,2.9021425752363252,0.9632020571119232,0.792911084043849,0.3316551446914673,0.7937327195017797,0.3260974884033203,0.10535931790499391,0.10539682539682539,0.10537807165090965,0.7618757612667478,0.6291108404384896,0.4415347137637028,0.24238733252131547,0.10840438489646773,0.48698412698412696,0.4133545458316803,0.9998502731323242,0.9989058971405029,0.9896532893180847,0.8866904973983765,0.43419691920280457,0.0017761548515409231,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8930680758470625,0.9097222222222222,0.8933663980161191,0.8775883069427527,0.9632020571119232
