,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
MobileNetV2_Notredame_right_aug_gender_finetuned_F50M50,0.93522024,0.20863612,0.10143192,0.2662652,3.4858451085609024,0.9754171258434352,0.8486031359356573,0.43197762966156006,0.8501132915323254,0.43197762966156006,0.07936507936507936,0.07978075517661389,0.07957291727084662,0.6321559074299634,0.6321559074299634,0.42509135200974424,0.12606577344701583,0.05237515225334957,0.573968253968254,0.7301567196846008,1.0,1.0,0.9999926090240479,0.957639753818512,0.4134575128555298,5.258052624412812e-06,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9229095430525334,0.911452184179457,0.9256594724220623,0.9403166869671132,0.9760010053554512
