,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
ResNet50_Notredame_right_aug_gender_finetuned_F50M50,0.89092106,0.25629097,0.090344764,0.25047827,3.1593220282943935,0.9685056937919301,0.8303068267501885,0.3052908182144165,0.8309947470712347,0.3052908182144165,0.08952380952380952,0.09013398294762484,0.08982889623571719,0.8867235079171741,0.7533495736906212,0.5237515225334958,0.17478684531059682,0.07064555420219244,0.579047619047619,0.4208890199661255,0.9999997615814209,0.9999945163726807,0.9997146725654602,0.8948847055435181,0.3017793595790863,4.478959453990683e-06,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906123717749456,0.9161490683229814,0.9071340713407133,0.8982947624847747,0.9685287009647545
