,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
VGG19_Notredame_right_aug_gender_finetuned_F50M50,0.8703987,0.25325814,0.07039628,0.2041088,3.4782698248307398,0.9774313168223034,0.8523995127892814,0.2956537902355194,0.8526022901880912,0.2956537902355194,0.07555555555555556,0.07612667478684532,0.07584111517120043,0.7807551766138855,0.7113276492082826,0.4062119366626066,0.1285018270401949,0.0535931790499391,0.43238095238095237,0.33026057481765747,0.9996321201324463,0.9992120265960693,0.9817070364952087,0.610490083694458,0.1774565875530243,0.001337691443040967,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148274790177183,0.9379001280409731,0.9144818976279651,0.892204628501827,0.9774313168223036
