,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
Xception_Notredame_right_aug_gender_finetuned_F50M50,0.9316045,0.19000633,0.20339374,0.31875956,2.775167771189126,0.9569481661929896,0.7969924405003577,0.8461057543754578,0.7968226891169583,0.8461057543754578,0.10285714285714286,0.10292326431181487,0.10289020358447887,0.8629719853836785,0.7527405602923264,0.5645554202192449,0.22777101096224117,0.10596833130328867,0.8266666666666667,0.8238833546638489,0.9999969005584717,0.9999678134918213,0.9996023774147034,0.9783679246902466,0.8321811556816101,0.0006647291593253613,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8815666770282872,0.8424769147202608,0.8906115417743324,0.9445797807551766,0.9569481661929895
