,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
DenseNet121_Notredame_right_aug_gender_finetuned_F50M50,0.8968379,0.2562692,0.17988329,0.34272078,2.369328109909229,0.9366721819716379,0.7393558792315341,0.6015385985374451,0.7395451667507991,0.6015385985374451,0.1359773371104816,0.13716814159292035,0.13657273935170097,0.8171091445427728,0.8171091445427728,0.7050147492625368,0.35103244837758113,0.20501474926253688,0.6997167138810199,0.8168125152587891,0.9999995231628418,0.9999995231628418,0.9999915361404419,0.9974268078804016,0.9717513918876648,5.388470071920892e-06,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865606936416185,0.8360655737704918,0.8680851063829789,0.9026548672566371,0.9366721819716379
