,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
EfficientNetB0_Notredame_right_aug_gender_finetuned_F50M50,0.8232417,0.25813523,0.21947677,0.2952193,2.177315392340266,0.9225392129826936,0.6898977997275774,0.4245043396949768,0.6968080582521479,0.3141062259674072,0.168141592920354,0.16855524079320114,0.16834841685677757,0.7699115044247787,0.7079646017699115,0.5575221238938053,0.41297935103244837,0.25958702064896755,0.7889518413597734,0.5473247170448303,0.9972681999206543,0.9950135350227356,0.9759777784347534,0.9214722514152527,0.7691169381141663,0.011104363948106766,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395953757225434,0.8184357541899442,0.8407460545193687,0.8643067846607669,0.9225392129826937
