,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
InceptionResNetV2_Notredame_right_aug_gender_finetuned_F50M50,0.77251494,0.35422462,0.21584225,0.35644892,1.5665982586299103,0.8741131640301838,0.5874593664084502,0.21661874651908875,0.5901115750158978,0.21661874651908875,0.21386430678466076,0.21529745042492918,0.21458087860479497,0.9277286135693216,0.8215339233038348,0.7197640117994101,0.5309734513274337,0.387905604719764,0.9164305949008499,0.46816542744636536,0.9999997615814209,0.9999885559082031,0.999884843826294,0.9957813024520874,0.9421237707138062,1.7875121329780086e-06,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7825144508670521,0.7776141384388807,0.7781871775976419,0.7787610619469026,0.8741131640301838
