,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
InceptionV3_Notredame_right_aug_gender_finetuned_F50M50,0.8989103,0.22852986,0.23911823,0.332056,2.3147957648057513,0.9338414099125072,0.7386079704513359,0.855300784111023,0.7416367897619305,0.8784797191619873,0.13569321533923304,0.1359773371104816,0.1358352762248573,0.8643067846607669,0.8643067846607669,0.5855457227138643,0.32890855457227136,0.16224188790560473,0.8512747875354107,0.776281476020813,0.9999494552612305,0.9999494552612305,0.9984443783760071,0.9796476364135742,0.8543210029602051,0.0009695274638943374,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8388728323699421,0.7912932138284251,0.8471555860178205,0.911504424778761,0.9338414099125072
