,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
MobileNetV2_Notredame_right_aug_gender_finetuned_F50M50,0.9237345,0.23529302,0.2765976,0.396852,1.9836724567772754,0.9273086983044614,0.7191748769502034,0.9162677526473999,0.719425165522258,0.9162677526473999,0.14447592067988668,0.14454277286135694,0.14450934677062183,0.6799410029498525,0.6799410029498525,0.5796460176991151,0.3525073746312684,0.21091445427728614,0.6869688385269122,0.9633887410163879,1.0,1.0,0.9999995231628418,0.9999128580093384,0.9964184761047363,0.00016951157886069268,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8244219653179191,0.7636363636363637,0.8383233532934132,0.9292035398230089,0.9282153810156518
