,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
ResNet50_Notredame_right_aug_gender_finetuned_F50M50,0.77899766,0.36076868,0.12255557,0.2796781,2.033713576733337,0.9298229670669441,0.6887404213358737,0.2742261588573456,0.6892329067414013,0.2749943435192108,0.16005665722379603,0.1607669616519174,0.1604118094378567,0.8790560471976401,0.8067846607669616,0.5811209439528023,0.3407079646017699,0.24778761061946902,0.7351274787535411,0.20259153842926025,0.999984622001648,0.9999364614486694,0.9982289671897888,0.9473292231559753,0.6593874096870422,1.7871434465632774e-05,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8359826589595376,0.8690671031096563,0.8238944918541505,0.7831858407079646,0.9298229670669441
