,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
VGG19_Notredame_right_aug_gender_finetuned_F50M50,0.7943371,0.30130392,0.09732771,0.21062283,2.6813405410920996,0.9591010888549057,0.7799059055545806,0.28958645462989807,0.7823097415471648,0.12768764793872833,0.11651917404129794,0.11756373937677053,0.11704145670903424,0.7846607669616519,0.7507374631268436,0.47640117994100295,0.24188790560471976,0.12094395280235988,0.5722379603399433,0.25773826241493225,0.9972991347312927,0.9959562420845032,0.9628016948699951,0.6720645427703857,0.2891930341720581,0.005834680981934071,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8692196531791907,0.916247906197655,0.8580392156862745,0.8067846607669616,0.9591010888549057
