,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
Xception_Notredame_right_aug_gender_finetuned_F50M50,0.9096254,0.20060053,0.24839921,0.34314448,2.352621374824346,0.9350040111308883,0.7283754084250462,0.6799948215484619,0.7295078851381005,0.6799948215484619,0.1430678466076696,0.14447592067988668,0.14377188364377813,0.8672566371681416,0.7713864306784661,0.6519174041297935,0.3392330383480826,0.22861356932153393,0.8356940509915014,0.8004549145698547,0.9999841451644897,0.9999141693115234,0.9996190071105957,0.9818347096443176,0.9296231865882874,0.002437193877995014,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8540462427745664,0.7989949748743719,0.8629579375848032,0.9380530973451328,0.9350040111308883
