,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
DenseNet121_Notredame_band_aug_gender_finetuned_F50M50,0.9973867,0.03541944,0.0026978517,0.046331454,24.120703478151867,0.998252085986727,0.9967968405673375,0.7737001776695251,0.9967732031150316,0.7737001776695251,0.0011001100110011,0.002103049421661409,0.0016015797163312544,0.3564356435643564,0.3564356435643564,0.0011001100110011,0.0011001100110011,0.0011001100110011,0.31019978969505785,0.7737001776695251,1.0,1.0,0.019343828782439232,0.0007121612434275448,3.598393959691748e-05,1.9652177662976555e-09,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9985904478986279
