,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
EfficientNetB4_Notredame_band_aug_gender_finetuned_F50M50,0.99801964,0.035058305,0.004768217,0.05139017,22.57962835094925,0.9989340153784045,0.9967968405673375,0.705948531627655,0.9967732031150316,0.705948531627655,0.0011001100110011,0.002103049421661409,0.0016015797163312544,0.2717271727172717,0.19911991199119913,0.0011001100110011,0.0011001100110011,0.0011001100110011,0.5341745531019979,0.705948531627655,0.9999998807907104,0.9999990463256836,0.08922281116247177,0.0033040752168744802,0.00038859123014844954,3.087930744438694e-10,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983870967741936,0.9978021978021978,0.9983507421660253,0.9988998899889989,0.9989340153784044
