,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
InceptionResNetV2_Notredame_band_aug_gender_finetuned_F75M25,0.9028972,0.23104201,0.08452362,0.23544766,3.508489530716582,0.974470159949749,0.8565206678396546,0.3645365834236145,0.8563265337307786,0.3645365834236145,0.07570977917981073,0.07590759075907591,0.07580868496944332,0.9427942794279428,0.8646864686468647,0.39933993399339934,0.14301430143014301,0.0517051705170517,0.4479495268138801,0.46060580015182495,0.9999971389770508,0.9999887943267822,0.995073139667511,0.8338983654975891,0.2820277214050293,8.110534690786153e-05,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9225806451612903,0.9235880398671097,0.9205298013245033,0.9174917491749175,0.9744701599497491
