,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
InceptionV3_Notredame_band_aug_gender_finetuned_F75M25,0.90432614,0.20872168,0.123060025,0.2675967,3.2556607464608582,0.9650197406701764,0.8236318900028804,0.4698255956172943,0.8244937506156705,0.3616984784603119,0.09350935093509351,0.0935856992639327,0.09354752509951311,0.944994499449945,0.759075907590759,0.5478547854785478,0.22772277227722773,0.08250825082508251,0.5909568874868559,0.6125497817993164,0.9999998807907104,0.9999752044677734,0.9986503720283508,0.9273754358291626,0.5576146245002747,0.0007141419919207692,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9075268817204301,0.8891235480464625,0.9073275862068966,0.9262926292629263,0.9650197406701764
