,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
MobileNetV2_Notredame_band_aug_gender_finetuned_F50M50,0.9937431,0.06079379,0.002948986,0.046478897,18.31013192606591,0.9979906508000957,0.9956967305563365,0.3246428370475769,0.9956967305563366,0.3246428370475769,0.002103049421661409,0.0022002200220022,0.0021516347218318048,0.17271727172717272,0.17271727172717272,0.0022002200220022,0.0011001100110011,0.0011001100110011,0.6961093585699264,0.3246428370475769,0.9999951124191284,0.9999951124191284,0.014711178839206696,0.0019340061116963625,0.00023449797299690545,3.5557778943484664e-11,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962365591397849,0.9977924944812362,0.9961432506887052,0.9944994499449945,0.9982838977904099
