,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
ResNet50_Notredame_band_aug_gender_finetuned_F75M25,0.94945616,0.16856685,0.05336658,0.18245359,5.101635394784419,0.9914472519807185,0.9167005028578568,0.7199872136116028,0.9173541627019264,0.7226752042770386,0.04416403785488959,0.045104510451045104,0.04463427415296735,0.38943894389438943,0.38943894389438943,0.1562156215621562,0.0374037403740374,0.0121012101210121,0.19453207150368035,0.539654552936554,0.9992867112159729,0.9992867112159729,0.9728488326072693,0.4675205945968628,0.08832620084285736,0.0014265383360907435,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9553763440860215,0.9508733624454149,0.9545205479452056,0.9581958195819582,0.9915357466346004
