,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
VGG19_Notredame_band_aug_gender_finetuned_F50M50,0.99431527,0.041752897,0.0047668894,0.051523663,21.10205743116297,0.9974631532553888,0.9967968405673375,0.6473177075386047,0.9967732031150316,0.6473177075386047,0.0011001100110011,0.002103049421661409,0.0016015797163312544,0.9900990099009901,0.6402640264026402,0.0011001100110011,0.0011001100110011,0.0011001100110011,0.7539432176656151,0.6473177075386047,1.0,0.9999599456787109,0.07469051331281662,0.0032803406938910484,0.0009942358592525125,1.4622430910549156e-07,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9967069154774972,0.9978021978021978,0.9988998899889989,0.9974631532553886
