,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
Xception_Notredame_band_aug_gender_finetuned_F50M50,0.9964567,0.048558373,0.0033608633,0.047124375,20.755764824129535,0.9970588541503996,0.9956967305563365,0.6451290845870972,0.9956967305563366,0.6451290845870972,0.002103049421661409,0.0022002200220022,0.0021516347218318048,0.0022002200220022,0.0022002200220022,0.0022002200220022,0.0011001100110011,0.0011001100110011,0.7549947423764458,0.6451290845870972,0.6451290845870972,0.6451290845870972,0.03917872905731201,0.002725916914641857,0.0005443870322778821,3.4215172362017654e-10,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9978494623655914,0.9977997799779978,0.9977997799779978,0.9977997799779978,0.9978292781959585
