,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
DenseNet121_UFPR_aligned_aug_gender_finetuned_F50M50,0.92851233,0.21337192,0.07908901,0.22898066,3.838092429113225,0.983517485739708,0.8659402259402259,0.3317299783229828,0.8667243880556046,0.3317299783229828,0.0699099099099099,0.07019400352733686,0.07005195671862338,0.5029982363315697,0.4599647266313933,0.2578483245149912,0.09664902998236331,0.04021164021164021,0.4335135135135135,0.5495812892913818,0.9999580383300781,0.9999099969863892,0.9959738850593567,0.8027074337005615,0.20070691406726837,0.00014680820459034294,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9310160427807487,0.9282715185444367,0.9320217811347269,0.9358024691358025,0.9835174857397081
