,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
ResNet50_UFPR_aligned_aug_gender_finetuned_F75M25,0.85012984,0.28144813,0.058385063,0.17507473,3.3780967749730344,0.9761315601315602,0.8468983268983269,0.258287638425827,0.8468862703227529,0.258287638425827,0.0781981981981982,0.07830687830687831,0.07825253825253825,0.71005291005291,0.5033509700176367,0.327336860670194,0.12204585537918872,0.06172839506172839,0.5736936936936937,0.21109101176261902,0.9994650483131409,0.9940203428268433,0.9550597667694092,0.4317678213119507,0.13598427176475525,0.00034944876097142696,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9101604278074866,0.9515691592406044,0.9069423929098965,0.8663139329805997,0.9761315601315602
