,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
Xception_UFPR_aligned_aug_gender_finetuned_F50M50,0.89409626,0.24806806,0.09600928,0.24798912,3.217721741822616,0.9717986557986558,0.8256465989799323,0.3279302716255188,0.8264072694854376,0.3279302716255188,0.09171075837742504,0.0918918918918919,0.09180132513465847,0.7015873015873015,0.5724867724867725,0.40811287477954145,0.17954144620811288,0.07654320987654321,0.6299099099099099,0.47438618540763855,0.9999439716339111,0.9996700286865234,0.9970600008964539,0.8909550309181213,0.37050342559814453,5.5121905461419374e-05,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9087344028520499,0.9137869611685073,0.9092520382842963,0.9047619047619048,0.9717986557986559
