,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
DenseNet121_UFPR_aligned_aug_gender_finetuned_F25M75,0.95723933,0.17016171,0.09023667,0.2550477,3.9990927441715196,0.9851678345011678,0.8803470136803471,0.7211136221885681,0.8807127583873727,0.7195040583610535,0.060670194003527335,0.0609009009009009,0.06078554745221412,0.6211640211640211,0.5954144620811287,0.31216931216931215,0.0779541446208113,0.03139329805996473,0.4807207207207207,0.8341181874275208,0.9999998807907104,0.9999997615814209,0.9999263286590576,0.9324972033500671,0.33287283778190613,2.1058633137727156e-05,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9363636363636364,0.9180161943319838,0.9384376616658043,0.9597883597883597,0.9852859208414765
