,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
EfficientNetB4_UFPR_aligned_aug_gender_finetuned,0.93203866,0.2148166,0.077449314,0.22313783,3.901936264120915,0.9829615647393425,0.8725163258496592,0.6389169692993164,0.8724744061645264,0.6389169692993164,0.06419753086419754,0.0645045045045045,0.06435101768435102,0.674074074074074,0.5301587301587302,0.24162257495590828,0.08112874779541446,0.044444444444444446,0.6684684684684684,0.5465601682662964,0.9999980926513672,0.9999796152114868,0.9970813393592834,0.7566444277763367,0.23083214461803436,8.770758199716511e-07,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352941176470588,0.9339887640449438,0.9361252859405244,0.9382716049382716,0.9829615647393425
