,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
EfficientNetB4_UFPR_aligned_aug_gender_finetuned_F25M75,0.9735879,0.1365416,0.080244325,0.23529844,4.6439907413340915,0.989729856840968,0.9130959530959532,0.7541344165802002,0.9136782258317764,0.7311160564422607,0.043738977072310406,0.043963963963963966,0.04385147051813719,0.37178130511463847,0.37178130511463847,0.2091710758377425,0.038447971781305115,0.01763668430335097,0.40684684684684685,0.9128049612045288,0.9999996423721313,0.9999996423721313,0.9999518394470215,0.8518415093421936,0.20653438568115234,0.00032213475788012147,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9531194295900178,0.932996632996633,0.9546942291128337,0.9774250440917107,0.9901315283537506
