,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
InceptionResNetV2_UFPR_aligned_aug_gender_finetuned,0.94257915,0.20141792,0.054449793,0.20294014,4.392755580598541,0.9886983491427936,0.8962124028790694,0.14734844863414764,0.8971550841722795,0.14734844863414764,0.05291005291005291,0.05297297297297297,0.05294151294151294,0.4282186948853616,0.4282186948853616,0.2088183421516755,0.0564373897707231,0.016931216931216932,0.4151351351351351,0.4848769009113312,0.9999998807907104,0.9999998807907104,0.9996668100357056,0.5604969263076782,0.021309785544872284,2.016023614714868e-07,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9468805704099822,0.9487088786699681,0.9473684210526316,0.946031746031746,0.9890888348666127
