,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
InceptionResNetV2_UFPR_aligned_aug_gender_finetuned_F75M25,0.848074,0.29713243,0.068884805,0.20539343,3.0506733529734067,0.9699203965870632,0.8155202821869488,0.38175061345100403,0.8162084818602999,0.38175061345100403,0.09477477477477478,0.09488536155202822,0.0948300681634015,0.7410934744268077,0.6634920634920635,0.3915343915343915,0.15767195767195769,0.08853615520282188,0.7567567567567568,0.2138112485408783,0.9999476671218872,0.9998217225074768,0.9899256229400635,0.5966364145278931,0.17656491696834564,8.197260285669472e-06,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8998217468805704,0.9359416954353663,0.8967291436971702,0.8606701940035273,0.9699203965870633
