,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
InceptionV3_UFPR_aligned_aug_gender_finetuned,0.9045151,0.2399244,0.098686405,0.24977763,3.2904320155662456,0.9732091456535902,0.8265656132322798,0.4245508313179016,0.8267758249536337,0.4245508313179016,0.08756756756756756,0.08783068783068783,0.08769912769912769,0.8888888888888888,0.6634920634920635,0.3442680776014109,0.1527336860670194,0.07583774250440917,0.6742342342342342,0.5045629739761353,0.9999997615814209,0.9999643564224243,0.9960291385650635,0.877924919128418,0.394621878862381,9.230817340721842e-06,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9119429590017826,0.9131662548535122,0.9128440366972477,0.9125220458553792,0.9732091456535901
