,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
InceptionV3_UFPR_aligned_aug_gender_finetuned_F75M25,0.8538818,0.29718092,0.0727373,0.20864728,3.042327765695387,0.9676202551758109,0.8151694551694552,0.28472909331321716,0.8151605960433785,0.28472909331321716,0.09523809523809523,0.09549549549549549,0.09536679536679536,0.8098765432098766,0.5950617283950618,0.3488536155202822,0.16155202821869488,0.0927689594356261,0.9135135135135135,0.21542924642562866,0.9999974966049194,0.9998106360435486,0.9875445365905762,0.6472918391227722,0.19638356566429138,1.1702568372129463e-06,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9005347593582887,0.9327251995438997,0.897914379802415,0.8656084656084656,0.9676202551758107
