,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
MobileNetV2_UFPR_aligned_aug_gender_finetuned,0.92900467,0.22470643,0.09043171,0.2554462,3.485807178989702,0.9773729284840396,0.8479279279279279,0.5088744759559631,0.8482476988091577,0.4847819209098816,0.07654320987654321,0.07675675675675675,0.07664998331664999,0.6194003527336861,0.6010582010582011,0.35802469135802467,0.12169312169312169,0.055379188712522044,0.6659459459459459,0.6472272872924805,0.9999998807907104,0.9999997615814209,0.9999463558197021,0.9462072849273682,0.29443514347076416,3.8626205878244946e-07,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9237076648841355,0.917157712305026,0.9251748251748252,0.9333333333333333,0.9774328614328616
