,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
MobileNetV2_UFPR_aligned_aug_gender_finetuned_F75M25,0.8316969,0.32986647,0.0388831,0.16363119,3.044928575045704,0.9751761920650809,0.8373135039801707,0.07565143704414368,0.8373384633898913,0.07565143704414368,0.08252252252252253,0.08253968253968254,0.08253110253110253,0.745679012345679,0.5908289241622575,0.31710758377425047,0.12204585537918872,0.06807760141093475,0.7113513513513513,0.05041136220097542,0.9999942779541016,0.9998816251754761,0.9811646938323975,0.1914348006248474,0.022009076550602913,6.956987164130624e-08,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9001782531194296,0.9610863396838265,0.8943794794417201,0.836331569664903,0.975176192065081
