,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
ResNet50_UFPR_aligned_aug_gender_finetuned,0.9499336,0.18568237,0.064031884,0.21849526,4.36934911970048,0.988783195894307,0.8964717098050432,0.48902758955955505,0.8966610547696692,0.4870867431163788,0.054673721340388004,0.05477477477477478,0.05472424805758139,0.4712522045855379,0.43421516754850087,0.2324514991181658,0.061375661375661375,0.01904761904761905,0.28612612612612615,0.6430025100708008,0.9999998807907104,0.9999995231628418,0.9997455477714539,0.7427621483802795,0.07075707614421844,7.351916428888217e-05,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475935828877006,0.9434554973821989,0.9484210526315788,0.9534391534391534,0.9888722373166818
