,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
ResNet50_UFPR_aligned_aug_gender_finetuned_F25M75,0.9597489,0.1628633,0.08045062,0.23987512,4.288889471804949,0.987145939590384,0.8928890795557463,0.8753910660743713,0.8928734742323468,0.8753910660743713,0.05477477477477478,0.05502645502645503,0.0549006149006149,0.6772486772486772,0.6285714285714286,0.2895943562610229,0.05890652557319224,0.02433862433862434,0.3881081081081081,0.8144212365150452,1.0,0.9999998807907104,0.9998084902763367,0.8535513281822205,0.2218019962310791,6.38403435004875e-05,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442067736185383,0.9274576271186441,0.9458945548833189,0.9650793650793651,0.9872622463733576
