,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
VGG19_UFPR_aligned_aug_gender_finetuned,0.9193714,0.22311647,0.05895466,0.19366612,4.11858255659795,0.9867613009835232,0.8800400400400401,0.28859418630599976,0.880279748444804,0.28859418630599976,0.06198198198198198,0.062081128747795415,0.0620315553648887,0.6105820105820106,0.5008818342151675,0.21164021164021163,0.07548500881834215,0.030687830687830688,0.5027027027027027,0.39011743664741516,0.9999690055847168,0.99986732006073,0.9865376949310303,0.525921642780304,0.09820003062486649,4.0935236029326916e-05,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937789661319073,0.9477665706051873,0.9378007485296739,0.928042328042328,0.9867613009835232
