,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
VGG19_UFPR_aligned_aug_gender_finetuned_F75M25,0.8832417,0.2543399,0.06875859,0.19358562,3.6036927393804756,0.9794565359009804,0.8464922064922066,0.3862460255622864,0.8464528819178617,0.3862460255622864,0.07783783783783783,0.0779541446208113,0.07789599122932456,0.6783068783068783,0.45044091710758377,0.2761904761904762,0.1072310405643739,0.06172839506172839,0.8612612612612612,0.3138318359851837,0.9995487332344055,0.9944486618041992,0.961817741394043,0.5619159936904907,0.1886921226978302,4.302701563574374e-05,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9201426024955437,0.9392712550607287,0.9193083573487032,0.9001763668430335,0.9794565359009804
