,,,,,,,,,,,,,,,,,,,,,,,,,,Generated using PyEER 0.5.5,Accuracy,Precision,F1,Recall,ROC AUC
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
Xception_UFPR_aligned_aug_gender_finetuned_F25M75,0.9668511,0.15127774,0.1523526,0.316209,3.286070992220941,0.9788720148720149,0.8620201153534487,0.955966591835022,0.862016882984525,0.955966591835022,0.06948853615520283,0.06954954954954955,0.06951904285237619,0.7978835978835979,0.7128747795414462,0.34285714285714286,0.10299823633156967,0.04691358024691358,0.4763963963963964,0.9582118391990662,1.0,0.9999997615814209,0.9999436140060425,0.9886937737464905,0.8466011881828308,0.0002989047789014876,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
GMean: Genuine scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
GSTD: Genuine scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
IMean: Impostor scores distribution mean,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
IVariance: Impostor scores distribution standard deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
Sensitivity index (d'): See NICE:II protocol evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
AUC: Area under the ROC curve,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
J-Index: Youden's J statistic (Youden's Index),,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
MCC: Matthews Correlation Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
EER: Equal Error Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
"EERlow, EERhigh: See FVC2000 protocol evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
FMR: False Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
FNMR: False Non-Match Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
_TH: Threshold,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
EER_TH: Threshold for which EERlow and EERHigh were calculated,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9112299465240642,0.8698955365622032,0.9169169169169169,0.9693121693121693,0.9788720148720149
